role,function,fetch path,method,headers,body,backend app.js,routes,controller,middleware,services,db query,example response
Auth,login,${API_BASE}/auth/login,POST,"{ ""Content-Type"": ""application/json"" }","{""email"":""admin@tcs.com"",""password"":""password123""}","app.use(""/auth"", authRoutes);","routes/auth.routes.js -> router.post(""/login"", ...)",controllers/auth.controller.js -> login(),none,services/auth.service.js -> login(),"SELECT id, company_id, email, first_name, last_name, role, password_hash, is_active, last_login_at FROM users WHERE email = ? LIMIT 1","{""message"":""Login successful"",""token"":""<jwt>"",""role"":""HR""}"
Auth,logout,${API_BASE}/auth/logout,POST,"{ ""Content-Type"": ""application/json"" }",{},"app.use(""/auth"", authRoutes);","routes/auth.routes.js -> router.post(""/logout"", ...)",controllers/auth.controller.js -> logout(),none,services/auth.service.js -> revokeRefreshToken(),UPDATE refresh_tokens SET is_revoked = true WHERE token = ?,"{""message"":""Logged out successfully""}"
Auth,profile,${API_BASE}/auth/profile,GET,"{ ""Authorization"": ""Bearer <token>"" }",-,"app.use(""/auth"", authRoutes);","routes/auth.routes.js -> router.get(""/profile"", ...)",controllers/auth.controller.js -> profile(),verifyToken,services/auth.service.js -> getProfile(),"SELECT id, company_id, email, first_name, last_name, role, is_active, last_login_at, created_at, updated_at FROM users WHERE id = ? LIMIT 1","{""profile"":{""id"":2,""email"":""hr@tcs.com"",""role"":""HR""}}"
Auth,refreshToken,${API_BASE}/auth/refresh,POST,"{ ""Content-Type"": ""application/json"" }",{},"app.use(""/auth"", authRoutes);","routes/auth.routes.js -> router.post(""/refresh"", ...)",controllers/auth.controller.js -> refreshToken(),none,services/auth.service.js -> refreshAccessToken(),"SELECT id, expires_at FROM refresh_tokens WHERE token = ? AND user_id = ? AND is_revoked = false LIMIT 1 FOR UPDATE","{""message"":""Token refreshed"",""token"":""<jwt>"",""role"":""HR""}"
Candidate,applyForJob,${API_BASE}/candidate/applications,POST,"{ ""Authorization"": ""Bearer <token>"", ""Content-Type"": ""application/json"" }","{""job_id"":1}","app.use(""/candidate"", candidateRoutes);","routes/candidate.routes.js -> router.post(""/applications"", ...)",controllers/candidate.controller.js -> applyForJob(),"verifyToken, checkRole(""Candidate"")",services/candidate.service.js -> applyForJob(),"INSERT INTO applications (job_id, candidate_id, status, applied_at, created_at, updated_at) VALUES (?, ?, 'applied', NOW(), NOW(), NOW())","{""id"":123}"
Candidate,listJobs,${API_BASE}/candidate/jobs,GET,"{ ""Authorization"": ""Bearer <token>"" }",-,"app.use(""/candidate"", candidateRoutes);","routes/candidate.routes.js -> router.get(""/jobs"", ...)",controllers/candidate.controller.js -> listJobs(),"verifyToken, checkRole(""Candidate"")",services/candidate.service.js -> listJobs(),"SELECT j.id, j.title, j.description, j.location, j.employment_type, j.status, j.positions_count, j.created_at, c.name AS company_name FROM job_requisitions j JOIN companies c ON j.company_id = c.id ${whereSql} ORDER BY j.created_at DESC","[{""id"":1,""title"":""Senior Java Developer"",""status"":""published"",""company_name"":""TCS Limited""}]"
Candidate,getJobById,${API_BASE}/candidate/jobs/:id,GET,"{ ""Authorization"": ""Bearer <token>"" }",-,"app.use(""/candidate"", candidateRoutes);","routes/candidate.routes.js -> router.get(""/jobs/:id"", ...)",controllers/candidate.controller.js -> getJobById(),"verifyToken, checkRole(""Candidate"")",services/candidate.service.js -> getJobById(),"SELECT j.*, c.name AS company_name, u.first_name AS creator_first, u.last_name AS creator_last FROM job_requisitions j JOIN companies c ON j.company_id = c.id JOIN users u ON j.created_by = u.id WHERE j.id = ? LIMIT 1","{""id"":1,""title"":""Senior Java Developer"",""status"":""published"",""company_name"":""TCS Limited""}"
Candidate,getCandidateProfile,${API_BASE}/candidate/me/profile,GET,"{ ""Authorization"": ""Bearer <token>"" }",-,"app.use(""/candidate"", candidateRoutes);","routes/candidate.routes.js -> router.get(""/me/profile"", ...)",controllers/candidate.controller.js -> getCandidateProfile(),"verifyToken, checkRole(""Candidate"")",services/candidate.service.js -> getCandidateProfile(),"SELECT cp.user_id, u.first_name, u.last_name, u.email, cp.phone, cp.address, cp.resume_url, cp.profile_data, cp.is_verified, cp.updated_at FROM candidate_profiles cp JOIN users u ON cp.user_id = u.id WHERE cp.user_id = ? LIMIT 1","{""user_id"":13,""first_name"":""Rahul"",""last_name"":""Sharma"",""email"":""rahul.sharma@example.com"",""resume_url"":""https://...""}"
Candidate,updateCandidateProfile,${API_BASE}/candidate/me/profile,PUT,"{ ""Authorization"": ""Bearer <token>"", ""Content-Type"": ""application/json"" }",{},"app.use(""/candidate"", candidateRoutes);","routes/candidate.routes.js -> router.put(""/me/profile"", ...)",controllers/candidate.controller.js -> updateCandidateProfile(),"verifyToken, checkRole(""Candidate"")",services/candidate.service.js -> updateCandidateProfile(),"UPDATE candidate_profiles SET phone = ?, address = ?, profile_data = ?, updated_at = NOW() WHERE user_id = ?","{""message"":""Success""}"
Candidate,uploadResume,${API_BASE}/candidate/me/resume,POST,"{ ""Authorization"": ""Bearer <token>"", ""Content-Type"": ""application/json"" }",{},"app.use(""/candidate"", candidateRoutes);","routes/candidate.routes.js -> router.post(""/me/resume"", ...)",controllers/candidate.controller.js -> uploadResume(),"verifyToken, checkRole(""Candidate"")",services/candidate.service.js -> uploadResume(),"UPDATE candidate_profiles SET resume_url = ?, updated_at = NOW() WHERE user_id = ?","{""id"":123}"
Candidate,listMyApplications,${API_BASE}/candidate/my-applications,GET,"{ ""Authorization"": ""Bearer <token>"" }",-,"app.use(""/candidate"", candidateRoutes);","routes/candidate.routes.js -> router.get(""/my-applications"", ...)",controllers/candidate.controller.js -> listMyApplications(),"verifyToken, checkRole(""Candidate"")",services/candidate.service.js -> listApplicationsByCandidate(),"SELECT a.*, j.title, j.company_id, c.name AS company_name FROM applications a JOIN job_requisitions j ON a.job_id = j.id JOIN companies c ON j.company_id = c.id WHERE a.candidate_id = ? ORDER BY a.applied_at DESC","[{""id"":1,""job_id"":1,""status"":""applied"",""title"":""Senior Java Developer""}]"
Candidate,getOffers,${API_BASE}/candidate/offers,GET,"{ ""Authorization"": ""Bearer <token>"" }",-,"app.use(""/candidate"", candidateRoutes);","routes/candidate.routes.js -> router.get(""/offers"", ...)",controllers/candidate.controller.js -> getOffers(),"verifyToken, checkRole(""Candidate"")",services/candidate.service.js -> getOffersByApplication(),SELECT * FROM offers WHERE application_id = ? ORDER BY created_at DESC,"[{""id"":1,""application_id"":7,""status"":""sent""}]"
Candidate,acceptOffer,${API_BASE}/candidate/offers/:id/accept,POST,"{ ""Authorization"": ""Bearer <token>"", ""Content-Type"": ""application/json"" }",{},"app.use(""/candidate"", candidateRoutes);","routes/candidate.routes.js -> router.post(""/offers/:id/accept"", ...)",controllers/candidate.controller.js -> acceptOffer(),"verifyToken, checkRole(""Candidate"")",services/candidate.service.js -> acceptOffer(),SELECT application_id FROM offers WHERE id = ? LIMIT 1,"{""id"":123}"
